Code;Typ;Grund
0;R;Keine Verspätungsbegründung
1;R;Nähere Informationen in Kürze
2;R;Polizeieinsatz
3;R;Feuerwehreinsatz auf der Strecke
4;R;
5;R;Ärztliche Versorgung eines Fahrgastes
6;R;Unbefugtes Ziehen der Notbremse
7;R;Unbefugte Personen auf der Strecke
8;R;Notarzteinsatz auf der Strecke
9;R;Streikauswirkungen
10;R;Tiere auf der Strecke
11;R;Unwetter
12;R;Warten auf ein verspätetes Schiff
13;R;Pass- und Zollkontrolle
14;R;Technischer Defekt am Bahnhof
15;R;Beeinträchtigung durch Vandalismus
16;R;Entschärfung einer Fliegerbombe
17;R;Beschädigung einer Brücke
18;R;Umgestürzter Baum auf der Strecke
19;R;Unfall an einem Bahnübergang
20;R;
21;R;Warten auf Anschlussreisende
22;R;Witterungsbedingte Beeinträchtigungen
23;R;
24;R;Verspätung im Ausland
25;R;Bereitstellung weiterer Wagen
26;R;Abhängen von Wagen
27;R;Technische Störung am Bus
28;R;Gegenstände auf der Strecke
29;R;Ersatzverkehr mit Bus ist eingerichtet
30;R;Personalausfall im Stellwerk
31;R;Bauarbeiten
32;R;Längere Haltezeit am Bahnhof
33;R;Reparatur an der Oberleitung
34;R;Reparatur an einem Signal
35;R;Streckensperrung
36;R;Technische Störung am Zug
37;R;Kurzfristiger Fahrzeugausfall
38;R;Reparatur an der Strecke
39;R;Stau / Hohes Verkehrsaufkommen
40;R;Defektes Stellwerk
41;R;Technischer Defekt an einem Bahnübergang
42;R;Vorübergehend verminderte Geschwindigkeit auf der Strecke
43;R;Verspätung eines vorausfahrenden Zuges
44;R;Warten auf einen entgegenkommenden Zug
45;R;Vorfahrt eines anderen Zuges
46;R;
47;R;Verspätete Bereitstellung des Zuges
48;R;Verspätung aus vorheriger Fahrt
49;R;Kurzfristiger Personalausfall
50;R;Kurzfristige Erkrankung von Personal
51;R;Verspätetes Personal aus vorheriger Fahrt
52;R;Streik
53;R;Unwetterauswirkungen
54;R;Verfügbarkeit der Gleise derzeit eingeschränkt
55;R;Technischer Defekt an einem anderen Zug
56;R;Laden der Antriebsbatterie
57;R;Zusätzlicher Halt zum Ein- und Ausstieg
58;R;Umleitung des Zuges
59;R;Schnee und Eis
60;R;Witterungsbedingt verminderte Geschwindigkeit
61;R;Defekte Tür
62;R;Behobener technischer Defekt am Zug
63;R;Technische Untersuchung am Zug
64;R;Reparatur an einer Weiche
65;R;Erdrutsch
66;R;Hochwasser
67;R;Behördliche Maßnahme
68;R;Hohes Fahrgastaufkommen verlängert Ein- und Ausstieg
69;R;Zug verkehrt mit verminderter Geschwindigkeit
70;Q;WLAN nicht verfügbar
71;Q;Eingeschränktes WLAN
72;Q;Info-/Entertainment nicht verfügbar
73;Q;Heute: Mehrzweckabteil vorne
74;Q;Heute: Mehrzweckabteil hinten
75;Q;Heute: 1. Klasse vorne
76;Q;Heute: 1. Klasse hinten
77;Q;1. Klasse fehlt
78;Q;Ersatzverkehr mit Bus ist eingerichtet
79;Q;Mehrzweckabteil fehlt
80;Q;Andere Reihenfolge der Wagen
81;Q;
82;Q;Mehrere Wagen fehlen
83;Q;Heute ohne fahrzeuggebundene Einstiegshilfe
84;Q;Zug verkehrt richtig gereiht
85;Q;Ein Wagen fehlt
86;Q;Gesamter Zug ohne Reservierung
87;Q;Einzelne Wagen ohne Reservierung
88;Q;Keine Qualitätsmängel
89;Q;Reservierungen sind wieder vorhanden
90;Q;Kein gastronomisches Angebot
91;Q;Fahrradmitnahme nicht möglich
92;Q;Fahrradmitnahme kann nicht garantiert werden
93;Q;Behindertengerechte Einrichtung fehlt
94;Q;Ersatzbewirtschaftung
95;Q;Universaltoilette fehlt
96;Q;Zustieg kann nicht garantiert werden
97;Q;Hohe Auslastung
98;Q;Sonstige Qualitätsmängel
99;R;Verzögerungen im Betriebsablauf
