INBR,Name,Name kurz,DS100,Kategorie
8400045,Aalten,Aalten,ONAAL,6
8800300,Aalter,Aalter,XBAAL,6
8502113,Aarau,Aarau,XSA,6
8502000,Aarburg-Oftringen,Aarburg-Oftringen,XSABO,6
8600087,Aarhus,Aarhus,XDAR,6
8400047,Abcoude,Abcoude,ONAB,6
5500151,Abda,Abda,OMADA,6
8007826,Abenden,Abenden,KAB,6
8100204,Abfaltersbach/Drau Bahnhst,Abfaltersbach/Drau Bahnhst,OAAB,6
8100627,Abschlag,Abschlag,OAASG,6
8100202,Absdorf-Hippersdorf,Absdorf-Hippersdorf,OAADH,6
8100602,Achenlohe,Achenlohe,XAAC,6
8007001,Achern Stadt,Achern Stadt,RAHS,6
8700583,Achiet,Achiet,XFAH,6
8007291,Achkarren,Achkarren,RAK,6
8000426,Adendorf,Adendorf,AADF,6
8011002,Adorf(Erzgeb),Adorf(Erzgeb),DADO,6
8502224,Affoltern am Albis,Affoltern am Albis,XSAA,6
8700145,Agde,Agde,XFAG,6
8079084,Ahlbeck Grenze,Ahlbeck Grenze,WABG,6
8087025,Ahlbeck Ostseetherme,Ahlbeck Ostseetherme,WABO,6
8000457,Ahnatal Casselbreite,Ahnatal Casselbreite,FATC,6
8002675,Ahnatal-Heckershausen,Ahnatal-Heckershausen,FHEH,6
8006286,Ahnatal-Weimar,Ahnatal-Weimar,FWEI,6
8071338,Ahrensfelde(Bz. Bremen),Ahrensfelde(Bz. Bremen),AARF,6
8000451,Aich(Niederbay),Aich(Niederbay),MAIC,6
8100597,Aich-Assach,Aich-Assach,OAAAS,6
8501400,Aigle,Aigle,XSAL,6
8700431,Aime-la-Plagne,Aime-la-Plagne,XFAM,6
8072132,Aindorf,Aindorf,MAID,6
8300358,Airole,Airole,XIAE,6
8505201,Airolo,Airolo,XSAI,6
8704980,Aix-en-Provence TGV,Aix-en-Provence TGV,XFAX,6
8700048,Aix-les-Bains-le-Revard,Aix-les-Bains-le-Revard,XFAI,6
8400049,Akkrum,Akkrum,ONAK,6
5300096,Alba Iulia,Alba Iulia,XUAI,6
8700128,Albertville,Albertville,XFAL,6
723571,Albgaubad - Ettlingen,Albgaubad - Ettlingen,RETF,6
8070252,Albisheim(Pfrimm),Albisheim(Pfrimm),FALH,6
8017000,Albrechtshaus,Albrechtshaus,LALB,6
8700141,Alençon,Alençon,XFALN,6
8700126,Ales,Ales,XFALE,6
8017001,Alexisbad,Alexisbad,LAX,6
8000486,Alfhausen,Alfhausen,HAHS,6
8600042,Alken st(DK),Alken st(DK),XDAK,6
8800225,Alken(B),Alken(B),XBAE,6
8400050,Alkmaar,Alkmaar,XNAL,6
8400052,Alkmaar Noord,Alkmaar Noord,ONALN,6
8501035,Allaman,Allaman,OSALL,6
8000493,Allendorf(Eder) Bf,Allendorf(Eder) Bf,FALD,6
8100210,Allentsteig,Allentsteig,OAALL,6
8100548,Allerheiligenhöfe,Allerheiligenhöfe,XAAH,6
8400051,Almelo,Almelo,XNAO,6
8400520,Almelo de Riet,Almelo de Riet,ONAOR,6
8400081,Almere Buiten,Almere Buiten,ONABU,6
8400080,Almere Centrum,Almere Centrum,ONA,6
8400082,Almere Muziekwijk,Almere Muziekwijk,ONAMU,6
8400024,Almere Oostvaarders,Almere Oostvaarders,XNAOO,6
8479008,Almere Parkwijk,Almere Parkwijk,ONAPA,6
