INBR,Name,Name kurz,DS100,Kategorie
8000001,Aachen Hbf,Aachen Hbf,KA,2
8000406,Aachen-Rothe Erde,Aachen-Rothe Erde,KARE,4
8000404,Aachen West,Aachen West,KAW,5
8000002,Aalen Hbf,Aalen Hbf,TA,3
8000410,Abensberg,Abensberg,MABG,6
8000412,Achern,Achern,RAH,4
8000413,Achim,Achim,HACH,4
8000414,Achmer,Achmer,HAMR,6
8000418,Adelebsen,Adelebsen,HADB,6
8000419,Adelschlag,Adelschlag,MAD,6
8000420,Adelsdorf (Mittelfr),Adelsdorf (Mittelfr),NADM,6
8000423,Adelsheim Nord,Adelsheim Nord,RADN,6
8000424,Adelsheim Ost,Adelsheim Ost,TAD,6
8010001,Adorf (Vogtl),Adorf (Vogtl),DAD,5
8000431,Affaltrach,Affaltrach,TAF,6
8000433,Agatharied,Agatharied,MAGD,6
8000434,Agathenburg,Agathenburg,AABG,6
8000436,Aha,Aha,RA,6
8000437,Ahaus,Ahaus,EAHS,6
8000441,Ahlen (Westf),Ahlen (Westf),EAHL,4
8000442,Ahlhorn,Ahlhorn,HAHO,6
8000443,Ahlten (Han),Ahlten (Han),HALT,5
8000446,Ahrensburg,Ahrensburg,AAHR,4
8011003,Ahrensfelde,Ahrensfelde,BAF,4
8011004,Ahrensfelde Friedhof,Ahrensfelde Friedhof,BAFR,6
8011005,Ahrensfelde Nord,Ahrensfelde Nord,BAFN,6
8000448,Ahrweiler,Ahrweiler,KAH,6
8000449,Ahrweiler Markt,Ahrweiler Markt,KAHM,6
8000452,Aichach,Aichach,MAI,5
8000454,Aichstetten,Aichstetten,TAI,6
8000459,Ainring,Ainring,MAIN,6
8000462,Münster-Albachten,Münster-Albachten,EABT,6
8000463,Albbruck,Albbruck,RAL,6
8000464,Albersdorf,Albersdorf,AAL,7
8000466,Albersweiler (Pfalz),Albersweiler (Pfalz),RAR,6
8000468,Albig,Albig,FAG,6
8080040,Albrechtshof,Albrechtshof,BAS,5
8000471,Albshausen,Albshausen,FALS,6
8000473,Albstadt-Ebingen,Albstadt-Ebingen,TAE,5
8000474,Albstadt-Laufen Ort,Albstadt-Laufen Ort,TALO,6
8000475,Albstadt-Lautlingen,Albstadt-Lautlingen,TALT,6
8000477,Aldekerk,Aldekerk,KALK,6
8000482,Aletshausen,Aletshausen,MALH,7
8011155,Berlin Alexanderplatz,Berlin Alexanderplatz,BALE,3
8000483,Alfeld (Leine),Alfeld (Leine),HALF,4
8000488,Algermissen,Algermissen,HALG,6
8000489,Aligse,Aligse,HALI,6
8000492,Allendorf (Dillkr),Allendorf (Dillkr),FADD,7
8000496,Allensbach,Allensbach,RAB,4
8000499,Allmendingen,Allmendingen,TALL,6
8000500,Alpen,Alpen,KALP,7
8000501,Alpirsbach,Alpirsbach,RALP,6
8000505,Alsenz,Alsenz,SAZ,6
8000350,Alsfeld (Oberhess),Alsfeld (Oberhess),FAFD,5
8000506,Alsheim,Alsheim,FAHM,5
8011011,Alt Hüttendorf,Alt Hüttendorf,WAHU,6
8011014,Alt Rosenthal,Alt Rosenthal,BARO,6
8000508,Altbach,Altbach,TACH,3
8011016,Altdöbern,Altdöbern,BAD,6
8000509,Altdorf (b Nürnberg),Altdorf (b Nürnberg),NAD,6
8000504,Altdorf West,Altdorf West,NADW,6
8000511,Alte Veste,Alte Veste,NAVE,6
8000512,Alte Wöhr (Stadtpark),Alte Wöhr (Stadtpark),AAW,4
8011017,Altefähr,Altefähr,WAF,6
8000513,Altena (Westf),Altena (Westf),EALN,4
8000514,Altenahr,Altenahr,KALT,6
8000515,Altenau (Bay),Altenau (Bay),MALT,7
8011018,Altenbach,Altenbach,LALT,6
8000517,Altenbamberg,Altenbamberg,SAB,6
8000004,Altenbeken,Altenbeken,HA,3
8011019,Kurort Altenberg (Erzgeb),Kurort Altenberg (Erzgeb),DAG,5
8000518,Altenberge,Altenberge,EABG,6
8000520,Felsberg-Altenbrunslar,Felsberg-Altenbrunslar,FABL,6
